Player,Pos,Squad,Min,xAG,PrgC,PrgP,PrgR,TotPrgUsg,PrgUsgAA,Sh,ShAA,Tkl+Int,tklintAA,Recov,RecovAA,Won,Lost,Diff,HP
Ryan Williams,"DF,MF",Courage,1170,2.1,39,63,75,177,119,7,3,38,11,66,26,5,7,-2,157
Perle Morroni,DF,Wave,1162,1,24,40,69,133,75,1,-3,54,27,74,34,2,4,-2,131
Mary Vignola,DF,Angel City,1056,0.4,21,56,31,108,50,7,3,52,25,75,35,10,8,2,115
Caprice Dydasco,DF,Bay FC,1170,1.1,22,63,38,123,65,6,2,52,25,61,21,8,10,-2,111
Alyssa Malonson,DF,Bay FC,975,0.7,26,49,41,116,58,3,-1,47,20,56,16,11,6,5,98
Lauren Milliet,DF,Louisville,1170,1.1,25,62,20,107,49,2,-2,37,10,78,38,2,3,-1,94
Gisele Thompson,"DF,FW",Angel City,952,0.9,40,38,61,139,81,2,-2,38,11,42,2,1,3,-2,90
Lilly Reale,DF,Gotham FC,1044,0.7,22,56,33,111,53,1,-3,52,25,44,4,9,11,-2,77
Reyna Reyes,DF,Thorns,1057,0.3,13,57,28,98,40,4,0,40,13,51,11,20,7,13,77
Madeline Dahlien,"DF,FW",Reign,1016,0.7,32,17,82,131,73,0,-4,30,3,43,3,2,9,-7,68
Kerry Abello,DF,Pride,923,0.5,32,62,32,126,68,0,-4,29,2,44,4,3,6,-3,67
Madison Curry,DF,Reign,979,0.4,16,40,44,100,42,5,1,64,37,32,-8,7,13,-6,66
Emily Sams,DF,Pride,1103,0.3,17,68,9,94,36,8,4,36,9,55,15,8,6,2,66
Hanna Lundkvist,DF,Wave,1064,0.6,26,46,27,99,41,2,-2,34,7,57,17,4,7,-3,60
Tara McKeown,DF,Spirit,1125,2.6,10,51,7,68,10,14,10,36,9,63,23,15,10,5,57
Kate Del Fava,DF,Royals,1170,0.3,6,69,8,83,25,7,3,29,2,45,5,30,11,19,54
Janni Thomsen,DF,Royals,973,0.3,30,24,36,90,32,5,1,37,10,53,13,2,7,-5,51
Jordyn Bugg,DF,Reign,1165,0.1,8,43,5,56,-2,5,1,46,19,60,20,17,8,9,47
Taylor Malham,DF,Chicago Stars,1170,0.2,11,26,22,59,1,2,-2,47,20,72,32,6,11,-5,46
Isabel Rodriguez,DF,Current,951,2,22,44,28,94,36,3,-1,37,10,32,-8,7,8,-1,36
Kylie Strom,DF,Pride,1062,0.2,7,48,3,58,0,8,4,32,5,54,14,17,8,9,32
Gabrielle Carle,DF,Spirit,1112,0.9,19,30,31,80,22,6,2,42,15,37,-3,7,13,-6,30
Rebeca Bernal,"DF,MF",Spirit,1077,0.7,5,47,4,56,-2,6,2,39,12,48,8,21,18,3,23
Sarah Gorden,DF,Angel City,1154,0,11,58,1,70,12,6,2,19,-8,64,24,7,15,-8,22
Camryn Biegalski,DF,Chicago Stars,831,0.6,12,25,11,48,-10,5,1,48,21,40,0,5,3,2,14
Bruninha,"DF,MF",Gotham FC,633,1.2,17,43,39,99,41,0,-4,15,-12,30,-10,3,4,-1,14
Paige Nielsen,DF,Dash,1047,0.1,13,46,4,63,5,4,0,32,5,46,6,14,16,-2,14
Hailie Mace,DF,Current,714,1,11,28,8,47,-11,2,-2,36,9,58,18,2,4,-2,12
Emily Sonnett,DF,Gotham FC,1170,0.2,7,40,6,53,-5,2,-2,21,-6,64,24,9,9,0,11
Arin Wright,DF,Louisville,1170,1,6,37,0,43,-15,12,8,18,-9,54,14,23,14,9,7
Ana Tejada,"DF,MF",Royals,1036,0.3,3,31,6,40,-18,3,-1,30,3,59,19,8,10,-2,1
Kaleigh Kurtz,DF,Courage,1170,0.1,1,40,1,42,-16,9,5,28,1,36,-4,23,9,14,0
Phoebe McClernon,DF,Reign,1159,0,1,21,0,22,-36,9,5,33,6,57,17,16,11,5,-3
Courtney Petersen,DF,Louisville,1080,2.5,6,41,12,59,1,4,0,18,-9,44,4,2,4,-2,-6
Kayla Sharples,DF,Current,1170,0.5,1,37,1,39,-19,5,1,24,-3,39,-1,21,8,13,-9
Maggie Graham,"DF,FW",Dash,901,0.4,9,24,26,59,1,6,2,28,1,26,-14,7,10,-3,-13
Natalie Jacobs,DF,Dash,818,0.2,5,31,6,42,-16,7,3,35,8,32,-8,5,5,0,-13
Samantha Staab,DF,Chicago Stars,993,1.4,5,35,4,44,-14,8,4,17,-10,46,6,7,6,1,-13
Esme Morgan,DF,Spirit,936,0.1,5,29,3,37,-21,9,5,22,-5,41,1,8,5,3,-17
Cari Roccaro,"DF,MF",Chicago Stars,1142,0,0,15,1,16,-42,4,0,33,6,57,17,4,3,1,-18
Trinity Armstrong,DF,Wave,887,0.7,8,31,3,42,-16,8,4,20,-7,40,0,11,11,0,-19
Cori Dyke,DF,Pride,650,0.2,8,43,15,66,8,3,-1,15,-12,23,-17,5,5,0,-22
Oihane Hernández,DF,Pride,487,0.8,17,17,28,62,4,2,-2,19,-8,24,-16,4,4,0,-22
Kaitlyn Torpey,DF,Thorns,772,0.6,8,27,19,54,-4,1,-3,21,-6,34,-6,7,12,-5,-24
Casey Krueger,"DF,MF",Spirit,599,0.5,10,28,22,60,2,1,-3,13,-14,27,-13,5,2,3,-25
Abby Dahlkemper,DF,Bay FC,1170,0.3,2,38,2,42,-16,4,0,14,-13,39,-1,12,13,-1,-31
Carson Pickett,"DF,MF",Pride,569,0.6,4,25,46,75,17,1,-3,13,-14,12,-28,2,5,-3,-31
Joelle Anderson,DF,Bay FC,727,0.1,2,32,0,34,-24,5,1,16,-11,46,6,8,12,-4,-32
Jess Carter,DF,Gotham FC,775,0.1,5,31,7,43,-15,5,1,21,-6,29,-11,4,6,-2,-33
Nuria Rábano,DF,Royals,611,0.3,7,15,4,26,-32,3,-1,44,17,23,-17,2,2,0,-33
Talia Staude,DF,Courage,616,0.1,5,34,5,44,-14,6,2,21,-6,27,-13,5,8,-3,-34
Lauren Barnes,DF,Reign,713,0.6,4,36,1,41,-17,1,-3,20,-7,30,-10,6,4,2,-35
Ella Hase,"DF,FW",Louisville,459,0.4,6,13,24,43,-15,1,-3,27,0,26,-14,3,8,-5,-37
Jayden Perry,DF,Thorns,720,0,2,24,2,28,-30,4,0,15,-12,37,-3,10,5,5,-40
Felicitas Rauch,"DF,MF",Courage,645,2.7,6,15,26,47,-11,2,-2,17,-10,24,-16,4,6,-2,-41
Ellie Wheeler,"DF,MF",Current,739,0,9,16,14,39,-19,2,-2,22,-5,23,-17,7,5,2,-41
