Player,Pos,Squad,Min,xAG,PrgC,PrgP,PrgR,TotPrg,PrgUsgAA,Sh,ShAA,Tkl+Int,tklintAA,Recov,RecovAA,Won,Lost,Diff,HP
Delphine Cascarino,FW,Wave,1109,2.8,46,46,95,187,95,0,-1,37,20,50,18,5,5,0,132
Alyssa Thompson,"FW,MF",Angel City,1033,2.5,42,29,98,169,77,1,0,34,17,50,18,5,11,-6,106
Barbra Banda,FW,Pride,1103,1.3,60,14,93,167,75,2,1,15,-2,42,10,15,10,5,89
Temwa Chaŵinga,"FW,MF",Current,1034,1.8,25,22,88,135,43,0,-1,35,18,67,35,6,13,-7,88
Marta,FW,Pride,927,2.2,25,48,71,144,52,0,-1,30,13,51,19,3,2,1,84
Racheal Kundananji,"FW,MF",Bay FC,994,2.6,40,17,91,148,56,1,0,22,5,47,15,19,13,6,82
Yazmeen Ryan,"FW,MF",Dash,990,2,27,32,70,129,37,1,0,20,3,56,24,10,11,-1,63
Emma Sears,"FW,MF",Louisville,1086,0.8,31,14,81,126,34,0,-1,21,4,42,10,8,6,2,49
Beatriz,FW,Current,750,1.2,19,41,71,131,39,3,2,17,0,30,-2,19,17,2,41
Debinha,"FW,MF",Current,705,2.6,21,42,70,133,41,0,-1,15,-2,35,3,0,1,-1,40
Bárbara Olivieri,"FW,MF",Dash,890,1.6,13,41,39,93,1,0,-1,41,24,50,18,1,7,-6,36
Manaka Matsukubo,"FW,MF",Courage,971,3.2,18,49,60,127,35,0,-1,18,1,33,1,6,11,-5,31
Janine Beckie,"FW,MF",Louisville,885,2.2,8,18,72,98,6,1,0,27,10,43,11,11,9,2,29
Ashley Sanchez,"FW,MF",Courage,806,0.6,18,34,61,113,21,1,0,21,4,32,0,4,6,-2,23
Ally Sentnor,"FW,MF",Royals,1126,1.5,23,33,61,117,25,1,0,17,0,32,0,5,7,-2,23
Caiya Hanks,"FW,MF",Thorns,636,1.1,29,16,62,107,15,0,-1,22,5,35,3,1,3,-2,20
Rosemonde Kouassi,"FW,MF",Spirit,589,2.6,28,18,49,95,3,0,-1,17,0,43,11,5,2,3,16
Ludmila,FW,Chicago Stars,885,0.4,22,17,62,101,9,0,-1,22,5,31,-1,4,4,0,12
Ally Schlegel,"FW,MF",Chicago Stars,882,0.3,10,35,26,71,-21,3,2,21,4,41,9,47,33,14,8
Esther González,"FW,MF",Gotham FC,1136,1.1,18,37,57,112,20,0,-1,9,-8,40,8,8,22,-14,5
Riley Tiernan,FW,Angel City,1130,1.4,23,19,59,101,9,3,2,18,1,33,1,5,18,-13,0
Kayla Fischer,FW,Louisville,738,1.4,16,15,50,81,-11,0,-1,14,-3,37,5,21,14,7,-3
Jaedyn Shaw,"FW,MF",Courage,740,1.5,9,32,49,90,-2,1,0,18,1,31,-1,9,17,-8,-10
Brecken Mozingo,"FW,MF",Royals,784,0.3,20,10,54,84,-8,0,-1,19,2,29,-3,2,3,-1,-11
Bianca St-Georges,FW,Royals,653,0.9,16,6,55,77,-15,2,1,19,2,25,-7,5,12,-7,-26
Ashley Hatch,"FW,MF",Spirit,823,1.4,14,15,43,72,-20,3,2,8,-9,25,-7,17,12,5,-29
Jordyn Huitema,"FW,MF",Reign,667,0.5,6,23,36,65,-27,3,2,9,-8,22,-10,34,21,13,-30
Makenna Morris,"FW,DF",Spirit,829,0.7,10,26,38,74,-18,0,-1,14,-3,27,-5,4,8,-4,-31
Reilyn Turner,"FW,MF",Thorns,795,0.6,5,10,54,69,-23,0,-1,7,-10,16,-16,27,9,18,-32
Claire Emslie,"FW,MF",Angel City,519,1.3,14,21,41,76,-16,0,-1,13,-4,22,-10,3,5,-2,-33
Gift Monday,"FW,MF",Spirit,728,1.5,14,9,40,63,-29,1,0,15,-2,32,0,14,16,-2,-33
Deyna Castellanos,"FW,MF",Thorns,695,1.2,6,23,32,61,-31,0,-1,10,-7,35,3,8,8,0,-36
Kimmi Ascanio,"FW,MF",Wave,663,0.1,10,24,28,62,-30,1,0,18,1,27,-5,6,10,-4,-38
Michelle Cooper,"FW,MF",Current,474,3.7,15,13,42,70,-22,0,-1,12,-5,24,-8,2,6,-4,-40
Lynn Williams,"FW,MF",Reign,711,0.7,4,20,40,64,-28,2,1,10,-7,24,-8,16,16,0,-42
Karlie Lema,"FW,MF",Bay FC,593,0.3,19,7,43,69,-23,0,-1,20,3,17,-15,5,12,-7,-43
Messiah Bright,FW,Dash,623,0.8,12,11,39,62,-30,1,0,15,-2,19,-13,6,7,-1,-46
Shea Groom,"FW,MF",Chicago Stars,623,1.1,9,20,23,52,-40,3,2,14,-3,24,-8,8,8,0,-49
Maria Sanchez,"FW,MF",Wave,571,0.9,8,17,30,55,-37,0,-1,11,-6,21,-11,4,3,1,-54
Melanie Barcenas,FW,Wave,393,0.9,7,12,27,46,-46,0,-1,18,1,24,-8,0,2,-2,-56
Emeri Adames,"FW,MF",Reign,420,0.5,11,13,31,55,-37,0,-1,3,-14,22,-10,2,1,1,-61
Sarah Weber,"FW,MF",Louisville,641,0.4,3,11,27,41,-51,1,0,17,0,12,-20,20,13,7,-64
Hannah Betfort,FW,Courage,406,0.4,10,8,33,51,-41,3,2,5,-12,16,-16,7,5,2,-65
Adriana Leon,"FW,MF",Wave,660,0.4,15,9,38,62,-30,0,-1,7,-10,14,-18,0,11,-11,-70
Asisat Oshoala,FW,Bay FC,447,0.3,6,8,30,44,-48,0,-1,7,-10,8,-24,11,18,-7,-90
