Player,Pos,Squad,Min,xAG,PrgC,PrgP,PrgR,TotPrg,PrgUsgAA,Sh,ShAA,Tkl+Int,tklintAA,Recov,RecovAA,Won,Lost,Diff,HP
Taylor Flint,MF,Louisville,1074,0.60,1,59,8,68,-4,6,4,92,64,57,13,76,15,61,138
Kenza Dali,MF,Wave,1165,1.30,39,83,40,162,90,2,0,27,-1,87,43,2,1,1,133
Denise O'Sullivan,MF,Courage,1170,1.10,15,63,32,110,38,0,-2,81,53,94,50,9,17,-8,131
Sam Coffey,MF,Thorns,1052,1.60,15,73,21,109,37,3,1,51,23,89,45,9,10,-1,105
Hina Sugita,MF,Thorns,990,1.80,12,54,47,113,41,0,-2,51,23,71,27,7,10,-3,86
Jaelin Howell,MF,Gotham FC,1079,0.40,23,42,41,106,34,1,-1,46,18,68,24,22,14,8,83
Samantha Meza,MF,Reign,877,1.30,8,28,13,49,-23,7,5,65,37,88,44,7,6,1,64
Olivia Moultrie,"MF,FW",Thorns,998,3.30,36,58,48,142,70,1,-1,31,3,43,-1,10,17,-7,64
Savannah McCaskill,MF,Wave,1170,0.20,4,80,13,97,25,2,0,26,-2,77,33,7,7,0,56
Lo'eau LaBonta,MF,Current,900,0.50,6,55,13,74,2,4,2,40,12,73,29,4,4,0,45
Savannah Demelo,MF,Louisville,869,1.60,16,43,53,112,40,0,-2,31,3,45,1,2,2,0,42
Taylor Huff,"MF,FW",Bay FC,1080,1.20,15,52,47,114,42,1,-1,23,-5,50,6,12,12,0,42
Delanie Sheehan,MF,Dash,991,1.30,12,45,30,87,15,1,-1,27,-1,73,29,3,6,-3,39
Claire Hutton,MF,Current,884,1.30,6,46,16,68,-4,4,2,38,10,71,27,9,16,-7,28
Riley Jackson,MF,Courage,905,1.30,4,54,17,75,3,4,2,32,4,63,19,4,4,0,28
Kennedy Fuller,MF,Angel City,991,1.10,15,41,42,98,26,4,2,22,-6,49,5,6,9,-3,24
Narumi Miura,MF,Spirit,1069,1.30,3,43,29,75,3,5,3,43,15,51,7,4,8,-4,24
Angelina,MF,Pride,890,2.20,7,46,60,113,41,2,0,13,-15,38,-6,8,6,2,22
Vanessa DiBernardo,"MF,FW",Current,886,1.50,18,58,27,103,31,0,-2,29,1,36,-8,1,4,-3,19
Avery Patterson,"MF,DF",Dash,765,1.00,30,30,36,96,24,1,-1,27,-1,34,-10,8,9,-1,11
Julia Grosso,"MF,FW",Chicago Stars,992,0.90,14,39,31,84,12,0,-2,25,-3,47,3,4,4,0,10
Haley Hanson,MF,Pride,1055,0.20,8,40,27,75,3,4,2,33,5,46,2,16,18,-2,10
Ally Watt,"MF,FW",Pride,821,0.80,19,13,55,87,15,3,1,30,2,31,-13,13,11,2,7
Alanna Kennedy,MF,Angel City,1077,0.70,4,44,12,60,-12,3,1,26,-2,52,8,39,28,11,6
Claudia Zornoza,MF,Royals,855,0.50,8,57,11,76,4,1,-1,23,-5,50,6,7,5,2,6
Gia Corley,"MF,FW",Wave,754,0.60,34,30,45,109,37,1,-1,14,-14,28,-16,1,3,-2,4
Bea Franklin,"MF,DF",Chicago Stars,923,0.90,0,22,9,31,-41,8,6,38,10,58,14,28,15,13,2
Ryan Gareis,"MF,DF",Dash,910,1.60,18,19,62,99,27,2,0,10,-18,38,-6,1,3,-2,1
Ji So-yun,"MF,FW",Reign,627,1.80,10,44,30,84,12,2,0,17,-11,49,5,5,11,-6,0
Jameese Joseph,"MF,FW",Chicago Stars,717,1.70,22,10,42,74,2,1,-1,23,-5,50,6,2,6,-4,-2
Maitane López Millán,MF,Chicago Stars,915,0.30,2,29,5,36,-36,5,3,43,15,47,3,14,5,9,-6
Danielle Colaprico,MF,Dash,1064,0.10,2,32,4,38,-34,2,0,40,12,55,11,3,5,-2,-13
Kiki Pickett,MF,Bay FC,821,0.30,2,41,8,51,-21,3,1,25,-3,54,10,3,8,-5,-18
Sarah Schupansky,MF,Gotham FC,877,2.70,7,24,46,77,5,1,-1,13,-15,34,-10,3,5,-2,-23
Jessie Fleming,MF,Thorns,666,1.50,6,28,29,63,-9,1,-1,23,-5,33,-11,8,7,1,-25
Rachel Hill,"MF,FW",Bay FC,556,0.60,12,19,45,76,4,0,-2,22,-6,24,-20,9,10,-1,-25
Angharad James,MF,Reign,755,0.60,0,21,12,33,-39,4,2,35,7,39,-5,7,2,5,-30
Mina Tanaka,"MF,FW",Royals,831,1.10,7,25,37,69,-3,1,-1,21,-7,24,-20,11,11,0,-31
Ally Lemos,MF,Pride,486,0.30,3,35,15,53,-19,3,1,17,-11,39,-5,6,7,-1,-35
Dorian Bailey,MF,Bay FC,630,1.00,4,28,18,50,-22,2,0,22,-6,36,-8,7,7,0,-36
Nealy Martin,"MF,DF",Gotham FC,979,0.40,3,30,6,39,-33,2,0,27,-1,47,3,11,16,-5,-36
Ella Stevens,MF,Gotham FC,645,1.60,14,13,40,67,-5,2,0,14,-14,24,-20,10,10,0,-39
Ary Borges,MF,Louisville,515,0.10,4,18,15,37,-35,1,-1,33,5,30,-14,8,3,5,-40
Morgan Gautrat,MF,Pride,534,1.20,3,40,14,57,-15,2,0,15,-13,33,-11,4,5,-1,-40
Geyse,"MF,FW",Gotham FC,554,0.80,15,15,38,68,-4,0,-2,16,-12,18,-26,7,8,-1,-45
Penelope Hocking,"MF,FW",Bay FC,563,0.60,12,13,37,62,-10,1,-1,14,-14,25,-19,4,5,-1,-45
Katie Zelem,MF,Angel City,516,0.60,1,33,13,47,-25,0,-2,23,-5,24,-20,8,3,5,-47
Caroline Conti,"MF,FW",Bay FC,734,0.90,5,31,26,62,-10,1,-1,13,-15,27,-17,6,11,-5,-48
Katie O’Kane,MF,Louisville,654,0.50,5,28,17,50,-22,0,-2,21,-7,27,-17,0,2,-2,-50
Croix Bethune,"MF,FW",Spirit,439,0.80,14,18,24,56,-16,0,-2,8,-20,27,-17,4,0,4,-51
Dana Foederer,MF,Royals,800,0.30,3,25,15,43,-29,1,-1,26,-2,32,-12,7,14,-7,-51
Gabi Portilho,MF,Gotham FC,461,1.40,13,13,40,66,-6,0,-2,12,-16,16,-28,2,5,-3,-55
Macey Hodge,MF,Angel City,498,0.10,1,15,3,19,-53,1,-1,30,2,37,-7,9,8,1,-58
Shinomi Koyama,"MF,FW",Courage,535,1.60,4,25,26,55,-17,1,-1,10,-18,22,-22,3,7,-4,-62
Leicy Santos,"MF,FW",Spirit,441,0.40,7,20,12,39,-33,1,-1,19,-9,25,-19,4,7,-3,-65
Raquel Rodríguez,MF,Current,456,0.20,2,28,4,34,-38,3,1,19,-9,23,-21,7,9,-2,-69
Taryn Torres,MF,Gotham FC,643,0.10,5,24,4,33,-39,1,-1,17,-11,28,-16,3,10,-7,-74
Marie-Yasmine Alidou,"MF,FW",Thorns,405,0.30,5,15,19,39,-33,0,-2,11,-17,20,-24,3,5,-2,-78
